"","Id","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","Fence","MiscVal","YrSold","SalePrice","set","logSalePrice","GarageType2Types","GarageTypeAttchd","GarageTypeBasment","GarageTypeBuiltIn","GarageTypeCarPort","GarageTypeDetchd","MSSubClassA","MSSubClassB","MSSubClassC","MSSubClassD","MSSubClassE","MSSubClassF","MSZoningC","MSZoningFV","MSZoningRH","MSZoningRL","MSZoningRM","StreetPave","HasAlley","LotShapeIrr","LandContourLvl","LotConfigCorner","LotConfigCulDSac","LotConfigFR2","LotConfigFR3","LotConfigInside","LandSlopeGtl","Ngbr_Cost_of_living","Ngbr_Income","Ngbr_Owners","Ngbr_Annual_property_tax","Ngbr_School","Ngbr_Crime","Ville","Ngbr_Location_WW","Ngbr_Location_SS","Ngbr_Location_Center","Ngbr_Location_NN","Neighborhood1","Neighborhood2","Neighborhood3","Neighborhood4","Neighborhood5","Neighborhood6","Neighborhood7","Neighborhood8","Neighborhood9","Neighborhood10","ConditionArtery","ConditionFeedr","ConditionNorm","ConditionRRNn","ConditionRRAn","ConditionPosN","ConditionPosA","ConditionRRNe","ConditionRRAe","hasTwoCondition","BldgType1Fam","BldgType2fmCon","BldgTypeDuplex","BldgTypeTwnhs","BldgTypeTwnhsE","HouseStyleNbrStory","HouseStyleSplit","HouseStyleUnf","YearRemodAddBefore50","isRemod","RoofStyleFlat","RoofStyleGable","RoofStyleGambrel","RoofStyleHip","RoofStyleShed","RoofStyleMansard","RoofMatlCompShg","RoofMatlTarGrv","RoofMatlWood","ExteriorVinylSd","ExteriorMetalSd","ExteriorHdBoard","ExteriorWdSdng","ExteriorPlywood","ExteriorCemntBd","ExteriorBrkFace","ExteriorWdShing","ExteriorAsbShng","ExteriorStucco","ExteriorOthr","MasVnrTypeBrkCmn","MasVnrTypeBrkFace","MasVnrTypeNone","MasVnrTypeStone","FoundationBrkTil","FoundationCBlock","FoundationPConc","FoundationSlab","FoundationStone","FoundationWood","HeatingGasA","HeatingGasW","HeatingGrav","HeatingWall","CentralAirYes","ElectricalFuseA","ElectricalFuseF","ElectricalFuseP","ElectricalSBrkr","FunctionalMaj1","FunctionalMaj2","FunctionalMin1","FunctionalMin2","FunctionalMod","FunctionalTyp","HasFireplace","HasWoodDeck","HasOpenPorch","HasEnclosedPorch","Has3SsnPorch","HasScreenPorch","HasPool","PoolQCEx","HasFence","HasGar2","HasShed","QuSold1","QuSold2","QuSold3","QuSold4","SaleType1","SaleType2","SaleType3","SaleType4","SaleConditionAbnorml","SaleConditionAdjLand","SaleConditionAlloca","SaleConditionFamily","SaleConditionNormal","SaleConditionPartial","TotalArea","TotalArea1stAnd2nd","YearSinceSold","YearBetweenSoldAndBuilt"
"11",2910,21,1470,4,6,1970,1970,0,2,2,4,3,3,6,522,1,0,108,630,2,630,0,0,630,1,0,1,0,1,1,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2006,NA,"test",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4011,630,4,36
"12",345,36,2592,5,3,1976,1976,0,2,2,4,3,1,3,129,4,232,175,536,2,536,576,0,1112,0,0,1,1,3,1,2,4,0,0,1976,1,1,336,3,3,3,182,0,0,0,0,0,0,0,2010,85000,"train",11.3504065354725,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,6442,1112,0,34
"13",491,0,2665,5,6,1976,1976,0,2,2,4,3,2,1,0,1,0,264,264,2,616,688,0,1304,0,0,1,1,3,1,2,4,1,4,1976,3,1,336,3,3,3,141,24,0,0,0,0,0,0,2008,115000,"train",11.6526874073454,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,6302,1304,2,32
"14",916,21,2001,4,5,1970,1970,80,2,2,3,3,1,1,0,1,0,546,546,1,546,546,0,1092,0,0,1,1,3,1,2,6,0,0,1970,1,1,286,3,3,3,0,0,0,0,0,0,0,0,2007,75000,"train",11.2252433925184,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5664,1092,3,37
"15",1008,21,2217,4,4,1970,1970,0,2,2,3,3,1,4,273,2,273,0,546,2,546,546,0,1092,0,0,1,1,3,1,2,6,0,0,1970,2,1,286,3,3,3,238,0,0,0,0,0,0,0,2009,88000,"train",11.3850920934603,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,6038,1092,1,39
"16",1039,21,1533,4,6,1970,2008,0,2,2,3,3,1,1,0,1,0,546,546,2,798,546,0,1344,0,0,1,1,3,1,2,6,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2009,97000,"train",11.4824662574855,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5334,1344,1,39
"17",1069,42,3964,6,4,1973,1973,0,2,2,4,3,1,5,837,1,0,105,942,3,1291,1230,0,2521,1,0,2,1,5,1,2,10,1,4,1973,3,2,576,3,3,3,728,20,0,0,0,0,4,0,2006,151400,"train",11.9276806199855,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,12256,2521,4,33
"18",1087,0,1974,4,5,1973,1973,0,2,2,3,3,1,4,334,1,0,212,546,2,546,546,0,1092,0,0,1,1,3,1,2,6,0,0,1973,2,1,286,3,3,3,120,96,0,0,0,0,0,0,2010,83500,"train",11.3326019108389,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5752,1092,0,37
"19",1368,41,2665,5,6,1977,1977,0,2,2,3,3,1,5,548,3,173,36,757,4,925,550,0,1475,0,0,2,0,4,1,2,6,1,3,1977,2,1,336,3,3,3,104,26,0,0,0,0,0,0,2006,127000,"train",11.7519423654407,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7636,1475,4,29
"20",1615,21,1476,4,7,1970,1970,0,2,2,3,3,1,6,176,1,0,370,546,4,546,546,0,1092,0,0,1,1,3,1,2,5,0,0,0,0,0,0,0,0,3,200,26,0,0,0,0,0,0,2010,NA,"test",NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4999,1092,0,40
"21",1616,21,1900,4,4,1970,1970,0,2,2,3,3,1,1,0,1,0,546,546,4,546,546,0,1092,0,0,1,1,3,1,2,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2010,NA,"test",NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5197,1092,0,40
"22",1617,21,1890,4,6,1972,1972,0,2,2,3,3,1,3,294,1,0,252,546,2,546,546,0,1092,0,0,1,1,3,1,2,5,0,0,1972,1,1,286,3,3,3,0,0,64,0,0,0,0,0,2010,NA,"test",NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5537,1092,0,38
"23",2243,41,2665,5,7,1976,1976,0,2,2,4,3,1,5,318,1,0,232,550,2,925,550,0,1475,0,0,2,0,4,1,2,6,1,3,1976,1,1,336,3,3,3,92,26,0,0,0,0,0,0,2008,NA,"test",NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,7210,1475,2,32
"24",2247,21,1477,6,9,1970,2007,0,2,3,3,3,1,6,358,1,0,188,546,4,546,546,0,1092,0,0,2,1,3,1,2,6,0,0,0,0,0,0,0,0,3,187,0,0,0,0,0,0,0,2008,NA,"test",NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4961,1092,2,38
"25",2602,21,1504,4,4,1972,1972,0,2,2,3,3,1,4,252,1,0,294,546,2,546,546,0,1092,0,0,1,1,3,1,2,5,0,0,1972,1,1,253,3,3,3,0,0,0,0,0,0,0,0,2007,NA,"test",NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-14,53962,50,1521,8,-46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5054,1092,3,35
